Character External ID,Character Internal ID,Stage ID,Internal Stage ID,CPU AI Type,ITEMS,Element ID,Status List,SFX ID,Name Tags,Music,Unnamed: 11,Unnamed: 12,Menus
0x0E   // Ice Climbers,0x0E   // Yoshi,011 [00B]   // Rainbow Cruise (RCruise),0x10 Pokemon Stadium,0E = // evzelda (Hide 'n' Sheik Event Zelda),0x0E // Green Shell (G Shell),0x0E = Screw Attack,,013D - 014B: Crowd sounds,NUS,Fire Emblem Victory Theme,ff_emb,0e,0E - Starts a match (with the debug menu configurations?)
0x0F   // Jigglypuff,0x0F   // Jigglypuff,012 [00C]   // Jungle Japes (Garden),0x11 Poke Floats,0F = // noact,0x0F // Red Shell (R Shell),0x0F = Lips Stick,,014C - 020A: Walking sound effects (lots of repeats),QD,Game & Watch Victory Theme,ff_flat,0f,0F - Target Test
0x10   // Samus,0x10   // Mewtwo,013 [00D]   // Great Bay,0x12 Mute City,10 = // air,0x10 // Ray Gun (L Gun),0x10+ = Nothing (no graphic),,,SW,Star Fox Victory Theme,ff_fox,10,10 - Super Sudden Death
0x11   // Yoshi,0x11   // Luigi,014 [00E]   // Hyrule Temple (Shrine),0x13 Big Blue,11 = // item,0x11 // Freezie (Freeze),,,4E20: Narrator game title shouts,TIE,F-Zero Victory Theme,ff_fzero,11,11 - Invisible Melee
0x12   // Zelda,0x12   // Marth,015 [00F]   // Brinstar Depths (Kraid),0x14 Onett,12 = // Guard edge,0x12 // Food,,,7530: Narrator game modes,VBOY,Unused Good Fanfare,ff_good,12,12 - Slo-Mo Melee
0x13   // Sheik,0x13   // Zelda,016 [010]   // Yoshi's Island (Yoster),0x15 Fourside,bom,0x13 // Proximity Mine (MSBomb),,,9C40: Narrator single-player phrases,,Ice Climber Victory Theme,ff_ice,13,13 - Lightning Melee
0x14   // Falco,0x14   // Young Link,017 [011]   // Green Greens (Greens),0x16 Icicle Mountain,14 = // Cooperative,0x14 // Flipper,,,C350: Narrator versus phrases,RESTRICTED,Kirby Victory Theme,ff_kirby,14,"14 - ""A new foe has appeared!"" (Ganon with sword, freezes if you try to progress, ID from debug?)"
0x15   // Young Link,0x15   // Dr. Mario,018 [012]   // Fourside,0x18 Mushroom Kingdom,15 = // Coop 2,0x15 // Super Scope (S Scope),,,7C830: Narrator character calls + Additional phrases,CPU1,Legend of Zelda Victory Theme,ff_link,15,"15 - Classic Mode trophy acquisition & credits (C.Falcon, ID from debug?)"
0x16   // Dr. Mario,0x16   // Falco,019 [013]   // Mushroom Kingdom I (Inishie1),0x19 Mushroom Kingdom II,16 = // Normal?,0x16 // Star Rod,,,,CPU2,Super Mario Victory Theme,ff_mario,16,"16 - Adventure Mode trophy acquisition & credits (C.Falcon, ID from debug?)"
0x17   // Roy,0x17   // Pichu,020 [014]   // Mushroom Kingdom II (Inishie2),0x1B Flat Zone,17 = // Multi-Man Melee AI,0x17 // Lip's Stick,,,,CPU3,Earthbound Victory Theme,ff_ness,17,"17 - All-Star Mode trophy acquisition & credits (C.Falcon, ID from debug?)"
0x18   // Pichu,0x18   // Mr. Game & Watch, // 021 [015]   // Akaneia (Deleted Stage),0x1C Dream Land,18 = // Escape + Attack,0x18 // Fan (Harisen),,,,CPU4,Pokemon Victory Theme,ff_poke,18,18 - Intro video
0x19   // Ganondorf,0x19   // Ganondorf,022 [016]   // Venom,0x1D Yoshi's Island (64),19 = // Walk + Attack,0x19 // Fire Flower (F Flower),,,,CPU5,Metroid Victory Theme,ff_samus,19,19 - Cycles through Adventure Mode cinematics
0x1A   // Master Hand,0x1A   // Roy,023 [017]   // Poké Floats (Pura),0x1E Kongo Jungle (64),1A = // Stay + Attack,0x1A // Super Mushroom (Kinoko),,,,CPU6,Unused Fanfare 1,ff_step1,1a,"1A - Character trophy acquisition (no credits) (uses All-Star trophy) (C.Falcon, ID from debug?)"
0x1B   // Wireframe Male,0x1B // Master Hand,024 [018]   // Big Blue,,,0x1B // Mini Mushroom,,,,,Unused Fanfare 2,ff_step2,1b,1B - Tournament Menu
0x1C   // Wireframe Female,,025 [019]   // Icicle Mountain,,,0x1D // Warp Star (WStar),,,,CPU9,Unused Fanfare 3,ff_step3,1c,1C - Training Mode
0x1D   // Giga Bowser,0x1D   // Wireframe Male (Boy),  026 [01A]   // Icetop,,,0x1E // Screw Attack (ScBall),,,,HMN,Yoshi Victory Theme,ff_yoshi,1d,1D - Tiny Melee
0x1E   // Crazy Hand,0x1E   // Wireframe Female (Girl),,,,0x1F // Bunny Hood (RabbitC),,,,HMN,Flat Zone,flatzone,1e,1E - Giant Melee
0x1F   // Sandbag,0x1F   // Giga Bowser,027 [01B]   // Flat Zone,,,0x20 // Metal Box (MetalB),,,,HMN0,Fourside,fourside,1f,1F - Stamina Mode
0x20   // Popo,0x20   // Sandbag,028 [01C]   // Dream Land N64 (old ppp),,,0x21 // Cloaking Device (SpyCloak),,,,HMN1,Game Over,gameover,20,20 - Home-Run Contest
0x21   // User Select(Event) / None,,029 [01D]   // Yoshi's Island N64 (old yosh),,,0x22 // Poké Ball (M Ball),,,,HMN2,Kongo Jungle,garden,21,21 - 10-Man Melee
,,030 [01E]   // Kongo Jungle N64 (old kong),,,,,,,HMN3,Great Bay,greatbay,22,22 - 100-Man Melee
,,031 [01F]   // Battlefield (battle),,,ITEM RELATED,,,,HMN4,Green Greens,greens,23,23 - 3-Minute Melee
,,032 [020]   // Final Destination (last),,,0x23 // Ray Gun recoil effect,,,,HMN5,How to Play (video audio),howto,24,24 - 15-Minute Melee
,,,,,0x24 // Star Rod Star,,,,HMN6,How to Play,howto_s,25,25 - Endless Melee
,,TARGET TEST,,,0x25 // Lips Stick Dust,,,,HMN7,Multi-Man Melee 1,hyaku,26,26 - Cruel Melee
 ,,033 [021]   // Target Test   // Mario (TMario),,,0x26 // Super Scope Beam,,,,HMN8,Multi-Man Melee 2,hyaku2,27,"27 - ""Enable Progressive Scan Display?"""
,,034 [022]   // Target Test   // C. Falcon (TCaptain),,,0x27 // Ray Gun Beam,,,,HMN9,Icicle Mountain,icemt,28,28 - Reboot
,,035 [023]   // Target Test   // Young Link (TClink),,,0x28 // Hammer Head,,,,,Mushroom Kingdom,inis1_01,29,29 - Memory Card Overwrite Confirmation
,,036 [024]   // Target Test   // Donkey Kong (TDonkey),,,0x29 // Flower,,,,RANDOM,Mushroom Kingdom (Finale),inis1_02,2a,2A - Fixed-Camera Mode
,,037 [025]   // Target Test   // Dr. Mario (TDrmario),,,0x2A // Yoshi's egg (Event),,,,AAAA,Mushroom Kingdom II,inis2_01,2b,2B - Loads Event Match 1 (Match ID from the debug menu?)
,,038 [026]   // Target Test   // Falco (TFalco),,,,,,,1DER,Mushroom Kingdom II (Finale),inis2_02,2c,2C - Single-Button Mode
,,039 [027]   // Target Test   // Fox (TFox),,,MONSTERS,,,,2BIT,Classic Fanfare,intro_es,2d,
,,040 [028]   // Target Test   // Ice Climbers (TIceclim),,,0x2B // Goomba (DKuriboh),,,,2L8,Adventure Fanfare,intro_nm,2e,
,,041 [029]   // Target Test   // Kirby (TKirby),,,0x2C // Redead (Leadead),,,,2PAY,Hammer Theme,item_h,2f,
,,042 [02A]   // Target Test   // Bowser (TKoopa),,,0x2D // Octarok (Octarock),,,,401K,Star Theme,item_s,30,
,,043 [02B]   // Target Test   // Link (TLink),,,0x2E // Ottosea,,,,4BDN,Fountain of Dreams,izumi,31,
,,044 [02C]   // Target Test   // Luigi (TLuigi),,,0x2F // Stone(Octarok Projectile),,,,4BY4,Jungle Japes,kongo,32,
,,045 [02D]   // Target Test   // Marth (TMars),,,,,,,4EVA,Brinstar Depths,kraid,33,
,,046 [02E]   // Target Test   // Mewtwo (TMewtwo),,,CHARACTER RELATED,,,,7HVN,Main Menu (Default),menu01,34,
,,047 [02F]   // Target Test   // Ness (TNess),,48,0x30 // Mario's fire,,,,AOK,Lottery,menu02,35,
,,048 [030]   // Target Test   // Peach (TPeach),,49,,,,,ARCH,Main Menu (Alternate),menu3,36,
,,049 [031]   // Target Test   // Pichu (TPichu),,50,0x32 // Kirby's Cutter beam,,,,ARN,Mach Rider,mrider,37,
,,050 [032]   // Target Test   // Pikachu (TPikachu),,51,0x33 // Kirby's Hammer,,,,ASH,Mute City,mutecity,38,
,,051 [033]   // Target Test   // Jigglypuff (TPurin),,52,0x34 // ,,,,BAST,Kongo Jungle N64,old_dk,39,
,,052 [034]   // Target Test   // Samus (TSamus),,53,0x35 // ,,,,BBBB,Dream Land 64,old_kb,3a,
,,053 [035]   // Target Test   // Sheik (TSeak),,54,0x36 // Fox's Laser,,,,BCUZ,Yoshi's Island 64,old_ys,3b,
,,054 [036]   // Target Test   // Yoshi (TYoshi,,55,0x37 // Falco's Laser,,,,BETA,Onett,onetto,3c,
,,055 [037]   // Target Test   // Zelda (TZelda),,56,0x38 // Fox's shadow,,,,BOBO,Mother 2,onetto2,3d,
,,056 [038]   // Target Test   // Mr. Game & Watch (TGamewat),,57,0x39 // Falco's shadow,,,,BONE,Opening (video audio),opening,3e,
,,057 [039]   // Target Test   // Roy (TEmblem),,58,0x3A // Link's bomb ,,,,BOO,Battle Theme (Pokemon),pokesta,3f,
,,058 [03A]   // Target Test   // Ganondorf (TGanon),,59,0x3B // Young Link's bomb,,,,BORT,Pokemon Stadium,pstadium,40,
,,,,60,0x3C // Link's boomerang,,,,BOZO,Poke Floats,pura,41,
,,ADVENTURE MODE,,61,0x3D // Young Link's boomerang,,,,BUB,Rainbow Cruise,rcruise,42,
,,059 [03B]   // 1  //1 Kinoko (Mushroom Kingdom Adventure),,62,0x3E // Link's Hookshot,,,,BUD,Info Fanfare 1,s_info1,43,
,,060 [03C]   // 1  //2 Castle (vs Peach & Mario [or luigi]),,63,0x3F // Young Link's Hookshot,,,,BUZZ,Info Fanfare 2,s_info2,44,
,,061 [03D]   // 2  //1 Kongo (vs 2 mini Donkey Kongs),,64,0x40 // Arrow,,,,BYRN,Info Fanfare 3,s_info3,45,
,,062 [03E]   // 2  //2 Garden (vs Donkey Kong),,65,0x41 // Fire Arrow,,,,CHUM,Trophy Fanfare,s_new1,46,
,,063 [03F]   // 3  //1 Meiktu (Zelda Adventure[Underground Maze]),,66,0x42 // PK Fire ,,,,COOP,Unused Fanfare,s_new2,47,
,,064 [040]   // 3  //2 Shrine (vs Zelda),,67,0x43 // PK Flash ,,,,CUBE,Challenger Approaching,s_newcom,48,
,,065 [041]   // 4  //1 Zebes (vs Samus),,68,0x44 // PK Flash,,,,CUD,Unused Song (Hammer Theme),s_select,49,
,,066 [042]   // 4  //2 Dassyut (Escape from Brinstar Adventure),,69,0x45 // PK Thunder (Primary),,,,DAYZ,Saria's Theme,saria,4a,
,,067 [043]   // 5  //1 Greens (vs Kirby),,70,0x46 // PK Thunder,,,,DIRT,Temple,shrine,4b,
,,068 [044]   // 5  //2 Greens (vs Kirby Team),,71,0x47 // PK Thunder,,,,DIVA,Brinstar Escape,siren,4c,
,,069 [045]   // 5  //3 Greens (classic Kirby music) (vs Giant Kirby),,72,0x48 // PK Thunder,,,,DNCR,Super Mario Bros. 3,smari3,4d,
,,070 [046]   // 6  //1 Corneria (vs Fox [or Falco]),,73,0x49 // PK Thunder,,,,DUCK,Final Destination,sp_end,4e,
,,071 [047]   // 6  //2 Corneria (vs Fox [or Falco] with massive arwing attack),,74,0x4A // Fox's Blaster,,,,DUD,Giga Bowser,sp_giga,4f,
,,"072 [048]   // 7  //1 Pokémon Stadium (vs Pikachu Team, and 1 Jigglypuff if unlocked, lots of pokeball)",,75,0x4B // Falco's Blaster,,,,DUFF,Metal Battle,sp_metal,50,
,,073 [049]   // 8  //1 B Route (F  //Zero Adventure[F  //Zero Grand Prix]),,76,0x4C // Link's Arrow,,,,DV8,Battlefield (Fighting Wire Frames),sp_zako,51,
,,074 [04A]   // 8  //2 Mute City (vs Captain Falcon),,77,0x4D // Young Link's arrow,,,,ED,Special Movie (video audio),swm_15min,52,
,,"075 [04B]   // 9  //1 Onett (vs Ness x3, lots of Mr Saturn)",,78,0x4E // PK Flash (explosion),,,,ELBO,Targets!,target,53,
,,076 [04C]   // 10  //1 Icemt (Icicle Mountain Adventure),,79,0x4F // Needle(thrown),,,,FAMI,Venom,venom,54,
,,077 [04D]   // 10  //2 Icetop (vs Ice Climbers x2),,80,0x50 // Needle,,,,FIDO,Metal Mario Cutscene,vl_battle,55,
,,"078 [04E]   // 11  //1 Battle (vs Fighting Wireframe team, low gravity)",,81,0x51 // Pikachu's Thunder ,,,,FILO,Luigi Adventure Cutscene,vl_castle,56,
,,079 [04F]   // 11  //2 Battle (vs Metal Mario [& Metal Luigi if unlocked]),,82,0x52 // Pichu's Thunder,,,,FIRE,Corneria Adventure Cutscene,vl_corneria,57,
,,080 [050]   // 12  //1 Last (vs Bowser),,83,0x53 // Mario's cape,,,,FLAV,Space Adventure Cutscene,vl_cosmos,58,
,,081 [051]   // 12  //2 Last (vs Giga Bowser),,84,0x54 // Dr.Mario's cape ,,,,FLEA,Bowser Destroyed Cutscene,vl_figure1,59,
,,,,85,0x55 // Smoke (Sheik),,,,FLYN,Giga Bowser Destroyed Cutscene,vl_figure2,5a,
,,BONUS STAGE,,86,0x56 // Yoshi's egg(thrown) ,,,,GBA,F-Zero Adventure Cutscene,vl_fzero,5b,
,,082 [052]   // Takisusume (Race to the Finish Classic),,87,0x57 //         Yoshi's Tongue??,,,,GCN,Giga Bowser Cutscene,vl_last_v2,5c,
,,083 [053]   // Grab the Trophies (figureget),,88,0x58 // Yoshi's Star ,,,,GLUV,Tournament Mode 1,vs_hyou1,5d,
,,084 [054]   // Homerun Contest (homerun),,89,0x59 // Pikachu's thunder (B),,,,GR8,Tournament Mode 2,vs_hyou2,5e,
,,085 [055]   // Heal (All-Star's Stage Inbetween Matches),,90,0x5A // Pikachu's thunder (B),,,,GRIT,Yoshi's Island,yorster,5f,
,,,,91,0x5B // Pichu's thunder (B),,,,GRRL,Yoshi's Story,ystory,60,
,,CLASSIC (VS SINGLE CHARACTER),,92,0x5C // Pichu's thunder (B),,,,GUST,Brinstar,zebes,61,
,,086 [056]   // Princess Peach's Castle (vs Mario),,93,0x5D // Samus's bomb,,,,GUT,,,,
,,087 [057]   // Rainbow Cruise (vs Mario),,94,0x5E // Samus's chargeshot ,,,,HAMB,,,,
,,088 [058]   // Kongo Jungle (vs Donkey Kong),,95,0x5F // Missile ,,,,HAND,,,,
,,089 [059]   // Jungle Japes  (vs Donkey Kong),,96,0x60 // Grapple beam,,,,HELA,,,,
,,090 [05A]   // Great Bay (vs Link),,97,0x61 // Sheik's chain,,,,HEYU,,,,
,,091 [05B]   // Temple (vs Link),,98,0x62 // ,,,,HI5,,,,
,,092 [05C]   // Brinstar (vs Samus),,,0x63 // Turnip ,,,,HIKU,,,,
,,093 [05D]   // Brinstar Depths (vs Samus),,,0x64 // Bowser's flame,,,,HOOD,,,,
,,094 [05E]   // Yoshi's Story (vs Yoshi),,,0x65 // Ness's bat      ,,,,HYDE,,,,
,,095 [05F]   // Yoshi's Island (vs Yoshi),,,0x66 // Yoyo,,,,IGGY,,,,
,,096 [060]   // Fountain of Dreams (vs Kirby),,,0x67 // Peach's parasol,,,,IKE,,,,
,,097 [061]   // Green Greens (vs Kirby),,,0x68 // Toad    ,,,,IMPA,,,,
,,098 [062]   // Corneria (vs Fox),,,0x69 // Luigi's fire    ,,,,JAZZ,,,,
,,099 [063]   // Venom (vs Fox),,,0x6A // Ice(Iceclimbers),,,,JEKL,,,,
,,100 [064]   // Pokémon Stadium (Only Pokeballs)(vs Pikachu),,,0x6B // Blizzard        ,,,,JOJO,,,,
,,101 [065]   // Mushroom Kingdom I (vs Luigi),,,0x6C // Zelda's fire,,,,JUNK,,,,
,,102 [066]   // Mushroom Kingdom II (vs Luigi),,,0x6D // Zelda's fire (explosion),,,,KEY,,,,
,,103 [067]   // Mute City (vs Captain Falcon),,,0x6E // ,,,,KILA,,,,
,,104 [068]   // Big Blue (vs Captain Falcon),,,0x6F // Toad's spore    ,,,,KITY,,,,
,,105 [069]   // Onett (vs Ness),,,0x70 // Mewtwo's Shadowball,,,,KLOB,,,,
,,106 [06A]   // Fourside (vs Ness),,,0x71 // Iceclimbers' Up  //B,,,,KNEE,,,,
,,107 [06B]   // Pokémon Stadium (vs Jigglypuff),,,0x72 // Pesticide,,,,L33T,,,,
,,108 [06C]   // Princess Peach's Castle (vs Bowser),,,0x73 // Manhole,,,,L8ER,,,,
,,109 [06D]   // Battlefield (vs Bowser),,,0x74 // Fire(G&W),,,,LCD,,,,
,,110 [06E]   // Princess Peach's Castle (vs Peach),,,0x75 // Parashute,,,,LOKI,,,,
,,111 [06F]   // Mushroom Kingdom II (vs Peach),,,0x76 // Turtle,,,,LULU,,,,
,,112 [070]   // Temple (vs Zelda),,,0x77 // Sperky,,,,MAC,,,,
,,113 [071]   // Great Bay (vs Marth),,,0x78 // Judge,,,,MAMA,,,,
,,114 [072]   // Final Destination (vs Mewtwo),,,0x79 // ,,,,ME,,,,
,,115 [073]   // Pokémon Stadium (vs Mewtwo),,,0x7A // Sausage,,,,MILO,,,,
,,116 [074]   // Icicle Mountain (vs Ice Climbers),,,0x7B // Milk (Young Link),,,,MIST,,,,
,,117 [075]   // Icicle Mountain (vs Ice Climbers),,,0x7C // Firefighter(G&W),,,,MOJO,,,,
,,118 [076]   // Mushroom Kingdom I (Dr. Mario Music) (vs Dr. Mario),,,0x7D // Masterhand's Laser,,,,MOSH,,,,
,,119 [077]   // Great Bay (vs Young Link),,,0x7E // Masterhand's Bullet,,,,NADA,,,,
,,120 [078]   // Temple (vs Young Link),,,0x7F // Crazyhand's Laser,,,,ZZZZ,,,,
,,121 [079]   // Corneria (vs Falco),,,0x80 // Crazyhand's Bullet,,,,NAVI,,,,
,,122 [07A]   // Venom (vs Falco),,,0x81 // Crazyhand's Bomb,,,,NELL,,,,
,,123 [07B]   // Great Bay (Unused),,,0x82 // Kirby copy Mario's Fire (B),,,,NEWT,,,,
,,124 [07C]   // Pokémon Stadium (Pichu),,,0x83 // Kirby copy Dr. Mario's Capsule (B),,,,NOOK,,,,
,,,,,0x84 // Kirby copy Luigi's Fire (B),,,,NEWB,,,,
,,CLASSIC (VS TWO CHARACTERS),,,0x85 // Kirby copy IceClimber's IceCube (B),,,,ODIN,,,,
,,125 [07D]   // Battlefield (Plays Mario Theme) (vs Team Mario & Bowser),,,0x86 // Kirby copy Peach's Toad (B),,,,OLAF,,,,
,,126 [07E]   // Mushroom Kingdom II (vs Team Mario & Peach),,,0x87 // Kirby copy Toad's Spore (B),,,,OOPS,,,,
,,127 [07F]   // Kongo Jungle (vs Team DK & Fox),,,0x88 // Kirby copy Fox's Laser (B),,,,OPUS,,,,
,,128 [080]   // Temple (vs Team Link & Zelda),,,0x89 // Kirby copy Falco's Laser (B),,,,PAPA,,,,
,,129 [081]   // Great Bay (vs Team Link & Young Link),,,0x8A // Kirby copy Fox's Blaster (B),,,,PIT,,,,
,,130 [082]   // Mushroom Kingdom I (vs Team Link & Luigi),,,0x8B // Kirby copy Falco's Blaster (B),,,,POP,,,,
,,131 [083]   // Great Bay (Saria's Song) (vs Team Marth & Link),,,0x8C // Kirby copy Link's Arrow (B),,,,PKMN,,,,
,,132 [084]   // Big Blue (vs Team Samus & Captain Falcon),,,0x8D // Kirby copy Young Link's Arrow (B),,,,QTPI,,,,
,,133 [085]   // Brinstar (vs Team Samus & Fox),,,0x8E // Kirby copy Link's Arrow (B),,,,RAM,,,,
,,134 [086]   // Yoshi's Story (vs Team Yoshi & Luigi),,,0x8F // Kirby copy Young Link's Arrow (B),,,,RNDM,,,,
,,135 [087]   // Yoshi's Island (vs Team Yoshi & Ness),,,0x90 // Kirby copy Mewtwo's Shadowball (B),,,,ROBN,,,,
,,136 [088]   // Green Greens (vs Team Kirby & Pikachu),,,0x91 // Kirby copy PK Flash (B),,,,ROT8,,,,
,,137 [089]   // Fountain of Dreams (vs Team Kirby & Pichu),,,0x92 // Kirby copy PK Flash Explosion (B),,,,RUTO,,,,
,,138 [08A]   // Green Greens (vs Team Kirby & Jigglypuff),,,0x93 // Kirby copy Pikachu's Thunder (B),,,,SAMI,,,,
,,139 [08B]   // Icicle Mountain (vs Team Kirby & Ice Climbers),,,0x94 // Kirby copy Pikachu's Thunder (B),,,,SET,,,,
,,140 [08C]   // Corneria (vs Team Fox & Falco),,,0x95 // Kirby copy Pichu's Thunder (B),,,,SETI,,,,
,,141 [08D]   // Mute City (vs Team Fox & Captain Falcon),,,0x96 // Kirby copy Pichu's Thunder (B),,,,SHIG,,,,
,,142 [08E]   // Pokémon Stadium (vs Team Pikachu & Pichu),,,0x97 // Kirby copy Samus' Chargeshot (B),,,,SK8R,,,,
,,143 [08F]   // Pokémon Stadium (vs Team Pikachu & Jigglypuff),,,0x98 // Kirby copy Sheik's Needle (thrown) (B),,,,SLIM,,,,
,,144 [090]   // Mushroom Kingdom I (vs Team Luigi & Dr. Mario),,,0x99 // Kirby copy Sheik's Needle (ground) (B),,,,SMOK,,,,
,,145 [091]   // Onett (alt music) (vs Team Ness & Peach),,,0x9A // Kirby copy Bowser's Flame (B),,,,SNES,,,,
,,146 [092]   // Fourside (vs Team Ness & Mewtwo),,,0x9B // Kirby copy Mr. Game & Watch's Sausage (B),,,,SNTA,,,,
,,147 [093]   // Big Blue (mRider song) (vs Team Captain Falcon & Falco),,,0x9C // (unique),,,,SPUD,,,,
,,148 [094]   // Battlefield (vs Team Bowser & Mewtwo),,,0x9D // Yoshi's Tongue?? (B),,,,STAR,,,,
,,149 [095]   // Battlefield (vs Team Bowser & Peach),,,0x9E // (unique),,,,THOR,,,,
,,150 [096]   // Battlefield (vs Team Bowser & Zelda),,,0x9F // Coin,,,,THUG,,,,
,,151 [097]   // Temple (vs Team Peach & Zelda),,,0xA0 // (unique),,,,TIRE,,,,
,,152 [098]   // Great Bay (Saria's Song) (vs Team Zelda & Young Link),,,,,,,TLOZ,,,,
,,153 [099]   // Temple (Emblem) (vs Team Zelda & Marth),,,POKEMON,,,,TNDO,,,,
,,154 [09A]   // Great Bay (Unused),,,0xA0      //  Used for Random Pokemon value,,,,TOAD,,,,
,,,,,0xA1 // Goldeen (Tosakinto),,,,TOMM,,,,
,,CLASSIC (VS GIANT CHARACTER),,,0xA2 // Chicorita ,,,,UNO,,,,
,,155 [09B]   // Princess Peach's Castle (vs Giant Mario),,,0xA3 // Snorlax,,,,WALK,,,,
,,156 [09C]   // Kongo Jungle (vs Giant DK),,,0xA4 // Blastoise,,,,WART,,,,
,,157 [09D]   // Great Bay (vs vs Giant Link),,,0xA5 // Weezing (Matadogas),,,,WARZ,,,,
,,158 [09E]   // Yoshi's Story (vs Giant Yoshi),,,0xA6 // Charizard (Lizardon),,,,WITH,,,,
,,159 [09F]   // Mushroom Kingdom II (vs Giant Luigi),,,0xA7 // Moltres,,,,YETI,,,,
,,160 [0A0]   // Mute City (vs Giant Captain Falcon),,,0xA8 // Zapdos,,,,YNOT,,,,
,,161 [0A1]   // Pokémon Stadium (vs Giant Jigglypuff),,,0xA9 // Articuno,,,,ZAXO,,,,
,,162 [0A2]   // Fountain of Dreams (vs Giant Bowser),,,0xAA // Wobbuffet,,,,ZETA,,,,
,,163 [0A3]   // Mushroom Kingdom I (vs Giant Dr. Mario),,,0xAB // Scizor,,,,ZOD,,,,
,,164 [0A4]   // Temple (vs Giant Young Link),,,0xAC // Unown,,,,ZOE,,,,
,,,,,0xAD // Entei,,,,WORM,,,,
,,CLASSIC (VS TEAM CHARACTER),,,0xAE // Raikou,,,,GEEK,,,,
,,165 [0A5]   // Rainbow Cruise (vs Team Mario),,,0xAF // Suicune,,,,DUDE,,,,
