Offset,Variable,Comments
0x34,Projectile spin (amount per frame),"Float. 0.0 for Fox's Laser, 200.0 for Mario's Fireball and Link's bomb. Projectiles don't spin when set to 0. Setting 200 results in rotation of about 0.523599 radians (30 degrees) per frame. Didn't bother checking how this float is actually converted to radians. The check for this value occurs in zz_0274658"
0x38,Scale,Float. 1 to 0.85 generally for things like Fox's Laser
0x40,X Velocity,
0x44,Y Velocity,
0x48,Z Velocity?,
0x4C,X Position,
0x50,Y Position,
0x54,Z Position?,
0xB0,Direction (Repeated?),
0xB8,Pointer to Static Item Data,Points to various function pointers related to the item
0xBC,Pointer to More Static Item Data,
0xC4,Pointer to a bunch of pointers in .dat,0x4 at this offset related to shyguy on hit attributes as well as Samus Charge Shot hitbox info
0xCC,Pointer to Projectile Attributes in .dat,
0x378,Start of Physics Struct,"4 Sets of XYZ, as seen in Char Data"
0x518,"Pointer to ""Owner"" Character Data",Does not change after item is thrown
0x574,rrggbbaa,Set based on the following 4 Floats
0x578,Red,Float. 0 - 255
0x57C,Green,Float. 0 - 255
0x580,Blue,Float. 0 - 255
0x584,Alpha,"Float. 0 - 255 (255 = item is 100% of color, 0 = no color change)"
0x588,Red Blink Rate,Float
0x58C,Blue Blink Rate,Float
0x590,Green Blink Rate,Float
0x594,Alpha Blink Rate,Float
0x5C4,Enable Color,0x80 to Apply Color (Melee uses 0x91 according to similar Char Data)
0xCA0,Immediate Damage Taken?,Float
0xC30,Hit Environment Flag,codeline 8026da54 writes to this for energy based projectiles
0xC34,Hit Hurtbox Flag?,codeline 80270b90 for projectile vs projectile and 80078114 for projectile vs player
0xC48,,
0xC4C,,
0xC64,Hit Reflect Box Flag?,was 02 on reflect
0xC90,,
0xC9C,Total Damage Taken,Float
0xCF4,Pointer to Player Hit,
0xD44,Time till Expiration,"Float, set by 8027515c"
0xD48,Half of Time til Expiration,"Float, set by 8027516c"
0xDD4,,
0xDDC,GObj pointer,
0xDEC,Misc Flags/Timers?,Used to know which stage samus' charge shot is in (0-7)
0xDF4,Misc Flags/Timers?,Used to count how many times tingle dances before flying away / how may frames before spawning tingle
0xE00,"Pointer to ""Owner"" Static Player Block",
0xE0C,Velocity to add/subtract?,
0xE38,??? Flag,Byte. Used in Destroy/Heal function of Maxim Tomato
0xE3C,??? Offset,Added to 0x80473A18 for (0x80473A18 + Offset) + 0x90 = 0
,,
Static Item Table Struct,,
0x00,,
0x04,,
0x08,,
0x0C,,
0x10,,
0x14,,
0x18,Pointer to Should Item Be Destroyed Function?,
,,
,,
Item Function Table Struct,Length 0x3C,
0x00,Pointer to Statedata,This list of pointers for all items is just above the start of the Item Function Table
0x04,OnCreate (item_t*),
0x08,OnDestroy (item_t*),"Not always used, but can be seen with items like the Box or acts as the Heal function for healing items"
0x0C,OnPickup (item_t*),
0x10,OnRelease(item_t*),This is your R+A throw away
0x14,OnThrow (item_t*),
0x18,OnHitCollision(item_t*),"Functionally, this is actually a collision check, since it occurs multiple times before hits are actually registered. If this function returns 1, the item is 'instant on touch'"
0x1C,OnTakeDamage(item_t*),"For Mr. Saturn, this only occurs when it collides with another Mr. Saturn"
0x20,"OnFallOffEdge (item_t *, item->item_data->0xB8)",
0x24,,
0x28,,
0x2C,0x00000000,
0x30,,
0x34,,
0x38,,
0x3C,,
,,
Spawn Item Struct,Length 0x58?,Used for the SpawnEntity function
0x00,Pointer to Player Entity,Not always applicable. Used for characters like Peach
0x04,Pointer to creator GOBJ,
0x08,Item Type Index,
0x0C,Sub Type?,
0x10,Unk Pointer,Set to 0 by SpawnEntity; is never read. May be leftover garbage from the stack.
0x14,X (Horizontal) Position,Float
0x18,Y (Vertical) Position,Float
0x1C,Z (Depth) Position,Float
0x20,X Position (Repeated),Float
0x24,Y Position (Repeated),Float
0x28,Z Position (Repeated),Float
0x2C,X Velocity,Float
0x30,Y Velocity,Float
0x34,Z Velocity,Float
0x38,Angular Velocity,Float. 1 or -1
0x44,0x80000000,
0x48,"""Is Spawned"" Flag",Set to 1 by SpawnItem
0x50,Pointer to Player Article Floating Points,Used by Fox's Laser and presumably anything else modified by Article FP
0x54,Pointer to Player Character Data,
,,
Spawn Player Struct,,
0x00,Possible Length 0xC,Int
0x05,Player Slot,Byte
0x06,Unknown,Byte. Generally 0xFF
0x07,Flags,"Byte. 0x2A = Normal, 0x80 = Nana, 0x00 = Player Clone, 0x29 = Multi-Man Fight"
